SCHOOLDIST,status
SARANAC LAKE,None Reported
SARATOGA SPRINGS,None Reported
SAUGERTIES,Delay
SAUQUOIT VALLEY,None Reported
SAYVILLE,None Reported
SCARSDALE,Delay
SCHALMONT,None Reported
SCHENECTADY,None Reported
SCHENEVUS,None Reported
SCHODACK,Delay
SCHOHARIE,None Reported
SCHROON LAKE,None Reported
SCHUYLERVILLE,None Reported
SCIO,None Reported
SCOTIA-GLENVILLE,None Reported
SEAFORD,None Reported
SENECA FALLS,None Reported
Sewanhaka Central,None Reported
SHARON SPRINGS,None Reported
SHELTER ISLAND,None Reported
SHENENDEHOWA,None Reported
SHERBURNE-EARLVILLE,None Reported
SHERMAN,None Reported
SHERRILL,None Reported
SHOREHAM-WADING R,None Reported
SIDNEY,None Reported
SILVER CREEK,None Reported
SKANEATELES,None Reported
SMITHTOWN,None Reported
SO MOUNTAIN,None Reported
SODUS,None Reported
SOLVAY,None Reported
SOMERS,Delay
SOUTH COLONIE,None Reported
SOUTH COUNTRY,None Reported
SOUTH HUNTINGTON,None Reported
SOUTH JEFFERSON,None Reported
SOUTH KORTRIGHT,None Reported
SOUTH LEWIS,None Reported
SOUTH ORANGETOWN,Delay
SOUTH SENECA,None Reported
SOUTHAMPTON,None Reported
SOUTHERN CAYUGA,None Reported
SOUTHOLD,None Reported
SOUTHWESTERN,None Reported
SPACKENKILL,Delay
SPENCER-VAN ETTEN,None Reported
SPENCERPORT,None Reported
SPRINGS,None Reported
SPRINGVILLE-GRIFFITH,None Reported
ST. REGIS FALLS,None Reported
STAMFORD,None Reported
STARPOINT,None Reported
STILLWATER,None Reported
STOCKBRIDGE,None Reported
SULLIVAN WEST,None Reported
SUSQUEHANNA VALLEY,None Reported
SWEET HOME,None Reported
SYOSSET,None Reported
SYRACUSE,None Reported
TACONIC HILLS,Delay
TARRYTOWN,Delay
THOUSAND ISLAND,None Reported
THREE VILLAGE,None Reported
TICONDEROGA,None Reported
TIOGA,None Reported
TONAWANDA,None Reported
TRI-VALLEY,Delay
TROY,None Reported
TRUMANSBURG,None Reported
TUCKAHOE,Delay
TUCKAHOE COMMON,None Reported
TULLY,None Reported
TUPPER LAKE,None Reported
TUSCARORA IND.RES.,None Reported
TUXEDO,None Reported
